tweet_id,author_id,customer_tweet,intent,historical_reply,in_response_to_tweet_id
1633052,499666,Updated my phone &amp; @AppleSupport deleted all my music :)))),software_update,"@AppleSupport We'd like to learn more about this. Is this music downloaded from Apple Music Membership, or synced from iTunes?",
261316,178220,@AppleSupport the latest update 11 it's downright bug and my phone the touch no longer works i cant coming back to 10.3.3,software_update,@AppleSupport Have you tried restarting your iPhone since you noticed this happening?,261315.0
2266073,659598,@AppleSupport Just updated my phone to the most recent iOS and now I can’t send emails from my Yahoo email account (bogus “username or password is incorrect” message). What gives???,account_apple_id,@AppleSupport We're happy to help. Reach us via DM to continue.,
2054539,607639,This new iPhone update is garbage! My battery life is getting murdered now @AppleSupport @AppleSupport,device_troubleshooting,"@AppleSupport We'd like to take a look into this. Send us a DM with your iPhone model, and iOS version to get started.",
925568,543115,@AppleSupport Hi I cant see vpn icon on notification bar when I enable it in ios 11.0.3 Iphone 6s.,software_update,@AppleSupport We're here to help! Do you mean the status bar at the top of the iPhone display? Have you restarted? Let us know in DM.,925552.0
1133220,387022,@AppleSupport @AppleSupport if i’m pre ordering the iPhone X would i have to pre order it from my carrier company to pay for it monthly not all at once?,order_shipping_inquiry,@AppleSupport We're excited about the iPhone X and want to answer your questions. Reach out to our Sales team:,1133221.0
1126192,226995,Thanks alot for turning my perfectly good iPhone into an unusable piece of crap with your new update @AppleSupport,software_update,@AppleSupport We'd love to assist. Can you give us some details including the iPhone model and the exact iOS version it's running?,
1765047,530912,@AppleSupport @AppleSupport Could you explain this? 11 is the most buggy iOS version ever. 11.0.x was and 11.1 is. @AppleSupport,software_update,@AppleSupport Let's have a look at this issue together. Can you please DM us?,
879297,328747,@AppleSupport I have an iPhone 6s Plus and iOS 11.0.3,software_update,"@AppleSupport Got it, thanks! So we can look closer into this with you, reach out to us in DM and we'll continue from there.",879296.0
1325967,320188,@AppleSupport my #iPhone7Plus still gets stuck in landscape mode on #iOS 11.0.3,software_update,"@AppleSupport We're glad to help. Let's try restarting the device by following this article, then test again:",
2691818,230301,What now @AppleSupport ? I’ve lost the use of my computer trying to upgrade to Sierra - have restarted 5 times now!,device_troubleshooting,@AppleSupport Are you able to get your device into recovery mode? Here's the steps needed for this.,
1929205,574104,@AppleSupport anyway to check the overall battery health of my iPhone 6s?,device_troubleshooting,@AppleSupport Hello there. We'd be glad to look into what's going on with your iPhone. Send us more information via DM:,
2238902,240439,@AppleSupport Hello. My attempt to install MacOS High Sierra failed and now my computer freezes when starting-up. I sent my log. Please help.,software_update,@AppleSupport We are here for you. Let's take a look at this further. Reach out to us in DM.,
905817,335044,@AppleSupport Operational. Apps also freezing and dropping out. Issues began post update. Thanks for the help!,hardware_repair_warranty,@AppleSupport We're here to help. Are you not able to hear any sound through the ear piece at all? Have you tried any steps to resolve this?,905816.0
798821,310422,@AppleSupport why release an ios that freezes your BRAND NEW phone smh,device_troubleshooting,@AppleSupport We want you to get the most out of your new iPhone. Which model are you using? DM us and let us know.,
519223,239814,@AppleSupport iDevices all over the Philippines are restarting randomly every 2-3mins. Fix this.,device_troubleshooting,@AppleSupport DM us and we'll do everything possible to help get this resolved for you. Send us details on what you're seeing and we'll go from there.,
561748,251452,"The last week my iPhone goes from 70% battery to 1% in less than 30mins even when I havnt touched the phone😡 i have it on battery saver even tried air plane Mode, it’s so annoying! @AppleSupport why is this happening it’s so frustrating",device_troubleshooting,"@AppleSupport You've come to the right place, we'll be happy to look into this with you. To start, can you check if there's any message that mentions your iPhone's battery being in need of service, in Settings &gt; Battery? Use this article as reference:",
1805709,542555,@AppleSupport @AppleSupport When do you please address the battery issues with iOS11? How can it be that same usage drains batt inhalf the time?,device_troubleshooting,@AppleSupport Your battery life is important to us. Let us know in DM what type of device you have and the exact iOS 11 version you are running.,
235858,172181,@AppleSupport iPhone keeps dying at 100%. I have an iPhone 6 and I’m running iOS 11.0.1,software_update,"@AppleSupport Battery life is important, and we're here for you. Send us a DM, and we'll continue with you from there.",
2784657,777515,IF MY PHONE WILL NOT TURN ON HOW DO YOU EXPECT ME TO GET THE VERIFICATION CODE THAT YOU TEXTED TO MY BROKEN PHONE. BUY ME A NEW PHONE PLS I'M BROKE AND UPSET @AppleSupport @AppleSupport,account_apple_id,@AppleSupport Thanks for reaching out. We're here to help. DM us so we can look into this further with you.,
2889482,801134,@AppleSupport hi guys! I have an iPhone 6s Plus that has developed a “blurry” camera issue and the Touch ID is no longer working. Purchased earlier this year in UAE. Can you let me know via my receipt I can DM you if covered by warranty for a fix?,device_troubleshooting,"@AppleSupport We're happy to look into the issues you're experiencing with your iPhone. In DM, please let us know which software version you're using.",
1938353,576595,@AppleSupport My iphone RESTARTS BY ITSELF more than 3 times a DAY.,device_troubleshooting,@AppleSupport We know unexpected restarts can affect your typical use. Let's work on this in DM. Share which iPhone with the link below:,
1606803,493582,Apple Watch users: anyone else have trouble with an exercise (boxing) pausing even when locked? Can’t find a fix for this. @AppleSupport,account_apple_id,@AppleSupport We'd like to look into this with you. Which Apple Watch and version of watchOS are you using?,
1341777,432964,"@AppleSupport my preorder for iPhone x says ‘delivers 3rd November’, does that mean it’ll arrive on that day or it gets shipped out then?",order_shipping_inquiry,"@AppleSupport To best answer your question, we’d recommend reaching out to our Apple Online Sales team here:",
2670232,751993,@AppleSupport iPhone 7 (iOS 11.0.2) Apple Music app crashes every time I launch it. Restartig the phone doesn’t fix the problem.,device_troubleshooting,@AppleSupport We're here for you! Let's get this sorted out together. When did this behavior start? Please DM us to proceed from here.,
2439699,699744,@AppleSupport I’ve restarted my phone several times. Still doesn’t work,device_troubleshooting,@AppleSupport Thanks for trying that step. We want to take a deeper look into this with you. Send us a DM and we'll get started.,2439698.0
181374,158604,"@AppleSupport Hello, I’m iPhone 6s user. Why I can’t downgrade to iOS 10.3.3? I saw from ipsw.me that’s still sign for iPhone 6s.",software_update,@AppleSupport We recommend getting software versions directly from Apple to be sure it's genuine. The current version available is iOS 11.1.2.,
618558,266757,@AppleSupport My iPhone keeps crashing I can't even text nor call after the update. As you can tell I couldn't even post my tweet before,software_update,@AppleSupport Thanks for reaching out. DM which iPhone and specific iOS version you are using to get started.,618560.0
1865891,557451,@AppleSupport my iPhone 7 keeps freezing and I have to constantly do a hard reset! #Notcool,account_apple_id,"@AppleSupport Thanks for reaching out to us. We are always happy to help. Send us a DM, so we can look into this together.",
1082451,200366,@AppleSupport hi I updated my iphone to the new iOS update and since then my battery goes down a lot quicker then it did before the update,software_update,@AppleSupport We are here to help. DM us your exact iOS version and we can take a look at this.,
464719,225526,I believe iOS 11.1.2 has battery problem. @AppleSupport need your help.,device_troubleshooting,@AppleSupport We'll be happy to assist. DM us more about what you're experiencing and we'll do everything we can.,
1920136,571631,"@AppleSupport the new IOS update is dreadful, so many bugs. Sort it out lads",software_update,@AppleSupport Thanks for reaching out! Let us help with your iPhone. DM us your exact iOS version and more details about the issues to proceed.,
97097,137197,@AppleSupport I'm using High Sierra version 10.13.1 Yes it disappears after the restart but back after some time. It is not specific to particular apps that keeps shuffling. and the notifications on top right also miss images.,device_troubleshooting,"@AppleSupport Got it. Let's have you boot up in safe mode. This will rule out a cache or directory issue with your startup disk; if that's the cause. Here's how to use safe mode: After you boot into safe mode, restart as normal and DM us the results.",97096.0
397537,441180,@AppleSupport @AppleSupport Same here! iPhone 7Plus/iOS 11.0.3! It’s a dud. Battery killer/Getting Hot/Freezes or Shuts down w/o warning! +Apple killed Bookworm😰,device_troubleshooting,"@AppleSupport Hey, thanks for letting us know about the issues you're having with your battery! Have you already updated to iOS 11.1?",397536.0
2833092,788711,@AppleSupport Recently updated iphone to iOS 11.1.2 which is lagging a lot.,software_update,@AppleSupport We've received your DM and will continue there.,
161253,153199,@AppleSupport my iPad Pro won’t install IOS 11?,software_update,@AppleSupport We'd be happy to help. Are you receiving an error message?,
2773248,775111,"@AppleSupport Unable to update Apple ID. It says ""Your Apple ID cannot be updated at this time. Please try again later."" See more details about my issue at",account_apple_id,"@AppleSupport We've received your DM, and we'll continue with you there. Be on the lookout for a response.",
1725001,521731,"@AppleSupport Hi dear. While i take a screen recording, it cuts off suddenly before completing five minutes!",device_troubleshooting,"@AppleSupport Thanks for reaching out. We've received your DM, and we'll continue from there.",
2123228,625463,"@AppleSupport Yeah I am. I tried to update but it said the update failed and I needed to restore it. I try to restore it, and it's saying my device can't be found",software_update,"@AppleSupport Try the following steps, starting with updating iTunes: DM us if you encounter issues from here.",2123229.0
661567,715349,"@AppleSupport I have something to ask, about the issue was happened for 11.1 for apple logo on screen lock, Im afraid to make the new update 11.1.1 if it's still there, can you tell me if apple fix that or no?",device_troubleshooting,"@AppleSupport We want to help you. We won't be able to say for sure, but we do recommend backing up and updating: If anything comes up, feel free to DM us. We can assist.",661563.0
1345630,433770,@AppleSupport since ios11 I didn’t get proactive destination (with traffic) as Notification. Known problem or something to configure?,software_update,@AppleSupport We're glad to assist. Are you on iOS 11.0.3 or an earlier version?,
433089,218006,"@AppleSupport It’s not rotating properly, stretching the screen image, texting delay among some of the errors",device_troubleshooting,@AppleSupport Could you Direct Message us and let us know what iPhone model you're using?,433090.0
2402120,691097,"@AppleSupport I was going to do a complete reset of my phone, the 7plus. I went to back it up on iCloud &amp; it says it was done but once it restarted, it said I had no backup so I had to start the iPhone as a new iPhone. Is there anyway to restore it? I did back it up but it says I didn’t.",device_troubleshooting,"@AppleSupport To make sure we're on the same page, were you resetting through iTunes, but it didn't find the backup, or when setting up the device, through the Setup Assistant, it couldn't find the iCloud backup?",2402119.0
2191198,641402,@AppleSupport 11.0.2. I know there’s an update available however this update doesn’t include any of the problems I reported in my previous tweet. Ths,software_update,@AppleSupport Let's have a look at this together. Can you please DM us?,2191197.0
753024,299972,New iOS 11 Podcast App is terrible.. Can’t go back to last listened and doesn’t start next episode… @AppleSupport,software_update,"@AppleSupport We're here for you. Check out the ""Listen continuously with Up Next"" section here:",
288366,184690,@AppleSupport Yes! I am on 11.0.2 I was hoping updates will fix this but this doesn’t go away. My iphone is 6s,software_update,"@AppleSupport Thanks. So we can look at all of your support options, could you provide your current location? Please reply in DM.",288365.0
1564025,482959,iOS 11.1 got the letter “I” all fucked up @AppleSupport @AppleSupport,software_update,@AppleSupport This article has some steps that can help:,
1192242,400217,"@AppleSupport hi I upgraded to iOS 11.0.2 and then to 11.0.3 to see if that would remedy my ""no service"" problem since upgrading. Help!",software_update,@AppleSupport We definitely want to help you with the iPhone and service today. Let's start here:,
286375,184224,Ever since I updated my phone my apps have been freezing like crazy. What gives! @AppleSupport,software_update,@AppleSupport Let's look into that. Send us a DM and we'll go from there.,
2069005,611856,@AppleSupport this keeps happening to my phone ever since I updated to iOS 11,software_update,@AppleSupport Let's hit this head on with you. What steps have you taken to resolve this? Have you tried restarting the device? DM us:,
1662187,506899,@AppleSupport Ios 11.0.3 (15A432),software_update,@AppleSupport Thanks for that. Do you get any error messages when this happens? Does it happen in certain areas or certain times of day?,1662186.0
2412500,693552,@AppleSupport @AppleSupport can someone tell me why since the update I have had to charge my phone twice?? Percentage is going down every second.. 😡😡😡😡,billing_subscription,@AppleSupport That's not what you should experience with your battery but we can help with that. What iOS are you using with your iPhone? How long does your battery last on a full charge? Let us know in a DM to continue.,
1550268,479820,Hi @AppleSupport Any idea why iPhone 6 slower than usual just after updating software to 11.1 !? #Help,software_update,@AppleSupport Let's look into this together. Send us a DM with details about what's happening with the iPhone 6 performance.,
9829,117806,@AppleSupport started before downloading 11.1 (was never able to download 11.0.3). hasn't gotten better since update,software_update,@AppleSupport Let's continue within DM here:,9828.0
682051,282772,Anybody else having issues trying to get The iOS 11.1 update? @AppleSupport,software_update,@AppleSupport Hey there. We'd like to discuss this with you. Send us a DM so we can talk there.,
1760258,529797,Wtf @AppleSupport @AppleSupport ?Why does my iPad have WiFi and Bluetooth turned on every single time I pick it up?I'm not down with that.Fix it!,device_troubleshooting,@AppleSupport We'd like to help. Can you tell us the iOS version your iPad is running in Settings &gt; General &gt; About?,
2780666,776616,"@AppleSupport It happens in various locations. Previously had same issue. Ordered a new sim, and also had a replacement handset. But the issue still occurs",order_shipping_inquiry,"@AppleSupport What iOS version is installed? Find this by tapping: Settings &gt; General &gt; About. Also, when it happens, what is your cellular signal strength?",2780665.0
2532905,720809,"@AppleSupport since I updated to iOS 11, unable to download any new apps/music from App Store or iTunes. Tried all troubleshooting including a DFU. 😡",billing_subscription,@AppleSupport Let's get this figured out together. What happens when you try to download from the App Store? Receive any error messages?,
1261273,298164,@AppleSupport new IOS has made my iPhone 6s almost useless. Takes too long to respond to anything. A ploy to upgrade or move to Samsung?,software_update,@AppleSupport That's not the experience we expect for you. We'd like to look into what's causing it to not respond. Which iOS version are you on?,
2009395,594170,@AppleSupport After i updated my iMac to 10.13.1 .I couldn’t find my photos in my photoslibrary.only at spotlight.Where are they?,software_update,@AppleSupport Let's get you to the best place for help with your Photos. Please reach out to our phone team here:,
2076165,585907,My battery percentage is going down instead of increasing anyone know what I can do I have the iPhone 8+ #apple @AppleSupport @AppleSupport #iPhone8Plus #iPhone8,device_troubleshooting,@AppleSupport That's not the experience we'd want you to have. Send us a DM with the country that you are located in to continue.,
2410106,692943,@AppleSupport iPhone 7 Plus and iOS 11.1.2,software_update,"@AppleSupport Great! Thanks for confirming that for us. Next, does your volume mute randomly, when using a particular app, or when performing a specific action?",2410108.0
602374,262987,@AppleSupport I have a problem with iOS 11.2. It turns out 3D Touch was working fine before the update. Now with 3D Touch set in “Light” I have to apply more force on the screen than previous versions of iOS.,device_troubleshooting,"@AppleSupport We'd be glad to take a look at this. If you feel that the base level of pressure for 3D Touch has shifted since the update, then which model iPhone are you using? Also, is the same amount of force needed universally, or just on certain apps? Thanks.",
905939,335077,@AppleSupport why do all of my photos have that and how do i get rid of it it’s stopping me from putting them as a home/lock screen,device_troubleshooting,"@AppleSupport We'd like to help you find out why this warning is showing. To start, can you let us know if you use the iCloud Photo Library?",
671356,224962,Can anyone tell me why some apps get updated automatically &amp; others don’t. Please see below. My weather and Wordpress apps are pending update (pic1) &amp; yet I have automatic updates switched on &amp; have been on wifi all night and morning (pic2) @AppleSupport,device_troubleshooting,@AppleSupport Hello. We are here to help. To get started what is your iOS version?,
